"Entrez1"	"Entrez2"	"R"	"P"	"FDR"
4519	23521	-0.862637341022491	0.000147447980680671	0.00502113610359505
4495	23521	-0.719780206680298	0.00553611704466928	0.0398500562015104
4536	23521	-0.796703279018402	0.00111365314443534	0.0160772050651902
4539	23521	-0.829670310020447	0.000450286563231206	0.0100323330569587
4540	23521	-0.774725258350372	0.00187136218718464	0.0213277730048049
4509	23521	-0.697802186012268	0.00800071892511389	0.0494092016952718
9168	23521	0.879120886325836	7.54455999461001e-05	0.00354719682526037
6206	23521	0.741758227348328	0.00370131475905877	0.0312712871541
102465978	23521	0.719780206680298	0.00553611704466928	0.0398500562015104
6132	23521	0.719780206680298	0.00553611704466928	0.0398500562015104
3263	23521	-0.752747237682343	0.00298223429410616	0.0278243532386253
6232	23521	0.846153855323792	0.000266011973482083	0.00726920340178212
4495	4489	0.846153855323792	0.000266011973482083	0.00726920340178212
4502	4489	0.796703279018402	0.00111365314443534	0.0160772050651902
2597	4489	-0.725274741649628	0.00502323618349787	0.0376470566364968
4499	4489	0.840659320354462	0.000319071451182928	0.008107019524954
4493	4489	0.851648330688477	0.000220219578060732	0.0064119124107954
2512	6181	0.796703279018402	0.00111365314443534	0.0160772050651902
4538	6181	-0.862637341022491	0.000147447980680671	0.00502113610359505
4512	6181	-0.763736248016357	0.00237661558943913	0.0242293351527327
4508	6181	-0.884615361690521	5.90575140098082e-05	0.00313680055214212
4513	6181	-0.862637341022491	0.000147447980680671	0.00502113610359505
4519	6181	-0.890109896659851	4.56543600351189e-05	0.00269637942332652
4537	6181	-0.725274741649628	0.00502323618349787	0.0376470566364968
4535	6181	-0.725274741649628	0.00502323618349787	0.0376470566364968
4541	6181	-0.774725258350372	0.00187136218718464	0.0213277730048049
4536	6181	-0.807692289352417	0.000839160418255158	0.0138930149032935
2244	6181	-0.697802186012268	0.00800071892511389	0.0494092016952718
4539	6181	-0.818681299686432	0.000620988718596394	0.0117354425417807
3240	6181	-0.736263751983643	0.0041077081506331	0.0333296184015786
4540	6181	-0.851648330688477	0.000220219578060732	0.0064119124107954
4509	6181	-0.774725258350372	0.00187136218718464	0.0213277730048049
9168	6181	0.884615361690521	5.90575140098082e-05	0.00313680055214212
6206	6181	0.813186824321747	0.000723607503004597	0.0128113103134346
102465978	6181	0.829670310020447	0.000450286563231206	0.0100323330569587
6132	6181	0.829670310020447	0.000450286563231206	0.0100323330569587
3263	6181	-0.796703279018402	0.00111365314443534	0.0160772050651902
6232	6181	0.906593382358551	1.92961786174006e-05	0.00160586513226362
23521	6181	0.928571403026581	4.60743610197767e-06	0.000620807137117121
7018	1548	0.719780206680298	0.00553611704466928	0.0398500562015104
7276	1548	0.714285731315613	0.00608830347139033	0.0421763733690238
1576	1548	0.719780206680298	0.00553611704466928	0.0398500562015104
3827	1548	0.818681299686432	0.000620988718596394	0.0117354425417807
2597	1548	-0.697802186012268	0.00800071892511389	0.0494092016952718
2512	127	-0.703296720981598	0.007318567720624	0.0468704568527617
4538	127	0.708791196346283	0.00668178552834942	0.0444571557438811
4508	127	0.758241772651672	0.0026660778187042	0.0259398787455981
4513	127	0.736263751983643	0.0041077081506331	0.0333296184015786
4519	127	0.774725258350372	0.00187136218718464	0.0213277730048049
4536	127	0.813186824321747	0.000723607503004597	0.0128113103134346
4539	127	0.714285731315613	0.00608830347139033	0.0421763733690238
4540	127	0.697802186012268	0.00800071892511389	0.0494092016952718
9168	127	-0.879120886325836	7.54455999461001e-05	0.00354719682526037
350	127	0.714285731315613	0.00608830347139033	0.0421763733690238
